employee_id,attrition,age,gender,marital_status,distance_from_home,department,job_role,job_level,over_time,total_working_years,years_at_company,job_satisfaction,work_life_balance,monthly_income,years_since_last_promotionyears_at_company,income_per_year_exp,loyal_ratio,promotion_lag,over_time_binary
1,0,38.0,Male,Married,1.0,Human Resources,Human Resources,1,Yes,7.0,6.0,2.0,3.0,2991.0,1.0,373.875,0.75,5.0,1
2,1,37.0,Female,Married,11.0,Research & Development,Healthcare Representative,2,No,15.0,1.0,2.0,1.0,4777.0,0.0,298.5625,0.0625,1.0,0
3,1,51.0,Male,Married,4.0,Research & Development,Research Scientist,1,Yes,18.0,10.0,3.0,4.0,2461.0,2.0,129.52631578947367,0.5263157894736842,8.0,1
4,0,42.0,Female,Married,26.0,Sales,Sales Executive,4,No,23.0,20.0,2.0,4.0,13525.0,4.0,563.5416666666666,0.8333333333333334,16.0,0
5,0,40.0,Female,Married,2.0,Research & Development,Research Scientist,1,No,20.0,5.0,3.0,3.0,2001.0,0.0,95.28571428571429,0.23809523809523808,5.0,0
6,0,29.0,Male,Married,6.0,Human Resources,Human Resources,1,No,1.0,1.0,2.0,3.0,2804.0,0.0,1402.0,0.5,1.0,0
7,0,40.0,Male,Married,1.0,Sales,Sales Executive,2,Yes,6.0,4.0,4.0,2.0,7457.0,0.0,1065.2857142857142,0.5714285714285714,4.0,1
8,1,55.0,Male,Married,2.0,Research & Development,Manager,5,Yes,24.0,5.0,1.0,3.0,19859.0,1.0,794.36,0.2,4.0,1
9,0,36.0,Female,Single,18.0,Research & Development,Laboratory Technician,1,No,8.0,8.0,4.0,3.0,2153.0,1.0,239.22222222222223,0.8888888888888888,7.0,0
10,0,32.0,Female,Single,3.0,Research & Development,Research Director,3,No,10.0,7.0,4.0,3.0,11159.0,7.0,1014.4545454545455,0.6363636363636364,0.0,0
11,0,25.0,Male,Married,4.0,Sales,Sales Executive,2,No,5.0,5.0,1.0,4.0,4256.0,0.0,709.3333333333334,0.8333333333333334,5.0,0
12,1,20.0,Male,Single,4.0,Research & Development,Laboratory Technician,1,No,1.0,1.0,1.0,3.0,2973.0,0.0,1486.5,0.5,1.0,0
13,0,47.0,Female,Married,14.0,Sales,Sales Executive,2,Yes,11.0,5.0,3.0,2.0,4591.0,1.0,382.5833333333333,0.4166666666666667,4.0,1
14,0,42.0,Female,Single,23.0,Research & Development,Research Director,4,No,16.0,1.0,4.0,3.0,15992.0,0.0,940.7058823529412,0.058823529411764705,1.0,0
15,0,31.0,Female,Married,12.0,Research & Development,Healthcare Representative,2,Yes,10.0,9.0,4.0,1.0,5855.0,8.0,532.2727272727273,0.8181818181818182,1.0,1
16,0,38.0,Female,Divorced,6.0,Research & Development,Research Scientist,2,Yes,17.0,13.0,4.0,3.0,5329.0,1.0,296.05555555555554,0.7222222222222222,12.0,1
17,0,39.0,Female,Single,2.0,Research & Development,Healthcare Representative,2,No,20.0,20.0,3.0,3.0,4553.0,11.0,216.8095238095238,0.9523809523809523,9.0,0
18,0,54.0,Male,Married,5.0,Research & Development,Research Director,5,No,24.0,4.0,1.0,2.0,19406.0,1.0,776.24,0.16,3.0,0
19,0,25.0,Male,Divorced,2.0,Research & Development,Manufacturing Director,2,No,7.0,7.0,3.0,3.0,5206.0,0.0,650.75,0.875,7.0,0
20,0,49.0,Male,Married,4.0,Research & Development,Manager,5,No,23.0,1.0,3.0,4.0,18711.0,0.0,779.625,0.041666666666666664,1.0,0
21,0,24.0,Male,Married,23.0,Research & Development,Research Scientist,1,Yes,6.0,6.0,4.0,3.0,2725.0,1.0,389.2857142857143,0.8571428571428571,5.0,1
22,0,40.0,Female,Single,6.0,Research & Development,Manufacturing Director,4,No,22.0,20.0,3.0,3.0,13237.0,5.0,575.5217391304348,0.8695652173913043,15.0,0
23,0,41.0,Male,Single,10.0,Sales,Sales Executive,2,No,16.0,14.0,4.0,3.0,6230.0,1.0,366.47058823529414,0.8235294117647058,13.0,0
24,0,32.0,Female,Married,8.0,Sales,Sales Executive,2,Yes,13.0,13.0,2.0,3.0,5228.0,11.0,373.42857142857144,0.9285714285714286,2.0,1
25,1,24.0,Male,Married,1.0,Research & Development,Research Scientist,1,Yes,6.0,2.0,4.0,2.0,2293.0,2.0,327.57142857142856,0.2857142857142857,0.0,1
26,0,49.0,Female,Married,25.0,Research & Development,Laboratory Technician,1,No,10.0,9.0,1.0,2.0,3211.0,1.0,291.90909090909093,0.8181818181818182,8.0,0
27,0,24.0,Male,Divorced,21.0,Research & Development,Laboratory Technician,1,No,2.0,1.0,1.0,3.0,2296.0,0.0,765.3333333333334,0.3333333333333333,1.0,0
28,0,39.0,Female,Divorced,13.0,Research & Development,Manager,4,Yes,21.0,19.0,2.0,3.0,17123.0,15.0,778.3181818181819,0.8636363636363636,4.0,1
29,0,59.0,Male,Married,6.0,Human Resources,Human Resources,1,No,7.0,2.0,3.0,2.0,2267.0,2.0,283.375,0.25,0.0,0
30,0,47.0,Female,Married,26.0,Human Resources,Manager,5,No,27.0,5.0,3.0,3.0,19658.0,1.0,702.0714285714286,0.17857142857142858,4.0,0
31,0,36.0,Male,Married,14.0,Research & Development,Healthcare Representative,2,Yes,17.0,16.0,4.0,2.0,6586.0,4.0,365.8888888888889,0.8888888888888888,12.0,1
32,0,30.0,Male,Divorced,7.0,Research & Development,Laboratory Technician,2,No,10.0,10.0,3.0,2.0,3491.0,8.0,317.3636363636364,0.9090909090909091,2.0,0
33,0,38.0,Male,Married,1.0,Human Resources,Human Resources,1,No,7.0,7.0,3.0,4.0,2844.0,5.0,355.5,0.875,2.0,0
34,1,28.0,Male,Married,1.0,Sales,Sales Representative,1,No,5.0,3.0,3.0,4.0,2909.0,1.0,484.8333333333333,0.5,2.0,0
35,0,31.0,Male,Divorced,2.0,Research & Development,Research Scientist,1,Yes,3.0,2.0,4.0,1.0,2695.0,2.0,673.75,0.5,0.0,1
